taxid,taxname
1689,Bifidobacterium dentium
169435,Anaerotruncus colihominis
817,Bacteroides fragilis
1351,Enterococcus faecalis
1302,Streptococcus gordonii
358743,Enterocloster citroniae
457422,Erysipelotrichaceae bacterium 2_2_44A
827,Campylobacter ureolyticus
33031,Peptoniphilus lacrimalis
1305,Streptococcus sanguinis
84135,Gemella sanguinis
1382,Lancefieldella parvula
184870,Varibaculum cambriense
1660,Schaalia odontolytica
39483,Faecalitalea cylindroides
2173,Methanobrevibacter smithii
310298,Phocaeicola coprocola
218538,Dialister invisus
387661,Parabacteroides johnsonii
626929,Bacteroides clarus
1522,[Clostridium] innocuum
454154,Paraprevotella clara
1352,Enterococcus faecium
471189,Gordonibacter pamelaeae
291645,Bacteroides nordii
28025,Bifidobacterium animalis
1512,[Clostridium] symbiosum
45851,Eshraghiella crossota
329854,Bacteroides intestinalis
2317,Methanosphaera stadtmanae
454155,Paraprevotella xylaniphila
1502,Clostridium perfringens
1505,Paraclostridium sordellii
1328,Streptococcus anginosus
1077464,Streptococcus oralis subsp. tigurinus
33034,Anaerococcus prevotii
1334,Streptococcus dysgalactiae
1633,Limosilactobacillus vaginalis
147802,Lactobacillus iners
43765,Corynebacterium amycolatum
38304,Corynebacterium tuberculostearicum
1078480,Haemophilus sputorum
1683,Bifidobacterium angulatum
328812,Parabacteroides goldsteinii
291644,Bacteroides salyersiae
847,Oxalobacter formigenes
154288,Turicibacter sanguinis
1584,Lactobacillus delbrueckii
726,Haemophilus haemolyticus
908612,Alistipes sp. HGB5
457402,Eubacterium sp. 3_1_31
552396,Erysipelotrichaceae bacterium 5_2_54FAA
168384,Marvinbryantia formatexigens
1547,Thomasclavelia ramosa
626934,Slackia piriformis
197614,Streptococcus pasteurianus
544644,Butyricimonas synergistica
137732,Granulicatella elegans
626931,Bacteroides oleiciplenus
469591,Parabacteroides sp. 20_3
28026,Bifidobacterium pseudocatenulatum
658655,Lachnospiraceae bacterium 1_4_56FAA
1070699,Clostridiaceae bacterium JC118
849,Fusobacterium gonidiaformans
39777,Veillonella atypica
469614,Erysipelotrichaceae bacterium 6_1_45
658086,Lachnospiraceae bacterium 3_1_57FAA_CT1
1118060,Enorma massiliensis phI
1531,Enterocloster clostridioformis
53443,Blautia hydrogenotrophica
29361,[Clostridium] nexile
742723,Lachnospiraceae bacterium 2_1_46FAA
626935,Collinsella tanakaei
137591,Weissella cibaria
187327,Acidaminococcus intestini
658085,Lachnospiraceae bacterium 5_1_57FAA
28125,Prevotella bivia
658088,Lachnospiraceae bacterium 9_1_43BFAA
658659,Erysipelotrichaceae bacterium 3_1_53
33037,Anaerococcus vaginalis
1287640,Anaerococcus obesiensis
859,Fusobacterium necrophorum
33035,Blautia producta
1261,Peptostreptococcus anaerobius
487173,Dialister succinatiphilus
1496,Clostridioides difficile
105841,Anaerostipes caccae
37734,Enterococcus casseliflavus
33945,Enterococcus avium
658083,Lachnospiraceae bacterium 6_1_63FAA
1721,Corynebacterium callunae
69966,Macrococcoides caseolyticum
384638,[Bacteroides] pectinophilus
905,Acidaminococcus fermentans
550,Enterobacter cloacae
1161942,Ruminococcus champanellensis
1583,Weissella confusa
1624,Ligilactobacillus salivarius
1255,Pediococcus pentosaceus
1598,Limosilactobacillus reuteri
1613,Limosilactobacillus fermentum
1599,Latilactobacillus sakei
56946,Afipia broomeae
1590,Lactiplantibacillus plantarum
1226325,Clostridium sp. KLE 1755
1736,Eubacterium limosum
1245,Leuconostoc mesenteroides
341694,Peptostreptococcus stomatis
1744,Propionibacterium freudenreichii
84109,Slackia exigua
55565,Actinomyces graevenitzii
103892,Veillonella ratti
102148,Solobacterium moorei
1309,Streptococcus mutans
1686,Bifidobacterium catenulatum
97478,Limosilactobacillus mucosae
47770,Lactobacillus crispatus
187326,Megasphaera micronuciformis
649724,Clostridium sp. ATCC BAA-442
484,Neisseria flavescens
237576,Oribacterium sinus
78258,Parascardovia denticolens
736,Haemophilus paraphrohaemolyticus
495,Neisseria elongata
28449,Neisseria subflava
199,Campylobacter concisus
936594,Lachnoanaerobaculum sp. ICM7
796942,Stomatobaculum longum
739,Aggregatibacter segnis
1383,Lancefieldella rimae
712976,Lachnospiraceae bacterium oral taxon 082
860,Fusobacterium periodonticum
727,Haemophilus influenzae
851,Fusobacterium nucleatum
490,Neisseria sicca
552395,Lachnospiraceae bacterium 4_1_37FAA
47671,Lautropia mirabilis
1632,Limosilactobacillus oris
150055,Streptococcus lutetiensis
735,Haemophilus parahaemolyticus
496,Neisseria macacae
487,Neisseria meningitidis
861,Fusobacterium ulcerans
59310,Streptococcus macedonicus
2047,Rothia dentocariosa
156456,Anaeroglobus geminatus
754330,Escherichia sp. TW09276
281920,Porphyromonas uenonis
571,Klebsiella oxytoca
469596,Coprobacillus cateniformis
623,Shigella flexneri
573,Klebsiella pneumoniae
29348,Thomasclavelia spiroformis
665956,Subdoligranulum sp. 4_3_54A2FAA
31971,Amedibacillus dolichus
56774,[Eubacterium] infirmum
33964,Leuconostoc citreum
2702,Gardnerella vaginalis
68891,Streptococcus peroris
54005,Peptoniphilus harei
43769,Corynebacterium propinquum
1311,Streptococcus agalactiae
82135,Fannyhessea vaginae
147207,Collinsella intestinalis
437897,Megamonas funiformis
850,Fusobacterium mortiferum
158847,Megamonas hypermegale
665937,Anaerostipes caccae
501571,Butyricicoccus pullicaecorum
491921,Megamonas rupellensis
37372,Helicobacter bilis
33968,Leuconostoc pseudomesenteroides
457392,Bacteroides sp. 3_2_5
856,Fusobacterium varium
626933,Odoribacter laneus
556262,Coprobacillus cateniformis
29391,Gemella morbillorum
1604,Lactobacillus amylovorus
33033,Parvimonas micra
102684,Streptococcus infantarius
1211819,Holdemania massiliensis AP2
84026,[Clostridium] methylpentosum
469588,Bacteroides sp. 2_1_22
246144,Enterococcus italicus
1246,Leuconostoc lactis
106649,Acinetobacter guillouiae
40324,Stenotrophomonas maltophilia
246432,Staphylococcus equorum
309120,Dialister micraerophilus
76860,Streptococcus constellatus
76122,Alloprevotella tannerae
28130,Prevotella disiens
539,Eikenella corrodens
467210,Lachnoanaerobaculum saburreum
1226322,Oscillibacter sp. KLE 1728
1596,Lactobacillus gasseri
230143,Scardovia wiggsiae
363265,Leyella stercorea
437898,Sutterella parvirubra
53345,Enterococcus durans
1322,Blautia hansenii
1105031,Clostridium sp. MSTE9
47715,Lacticaseibacillus rhamnosus
133926,Olsenella uli
33029,Anaerococcus hydrogenalis
1747,Cutibacterium acnes
1656,Actinomyces viscosus
461393,Actinomyces massiliensis
52226,Mitsuokella multacida
103621,Actinomyces urogenitalis
59505,Actinotignum schaalii
626938,Succinatimonas hippei
548,Klebsiella aerogenes
28035,Staphylococcus lugdunensis
671229,Veillonella sp. oral taxon 780
1283,Staphylococcus haemolyticus
29380,Staphylococcus caprae
483,Neisseria cinerea
1625,Fructilactobacillus sanfranciscensis
45634,Streptococcus cristatus
257758,Streptococcus pseudopneumoniae
624,Shigella sonnei
457394,Bacteroides sp. 4_3_47FAA
469592,Bacteroides sp. 3_1_19
194326,Companilactobacillus versmoldensis
38303,Corynebacterium pseudogenitalium
457387,Bacteroides sp. 1_1_30
248039,Mucispirillum schaedleri
582,Morganella morganii
69218,Enterobacter cancerogenus
46125,Abiotrophia defectiva
28126,Segatella buccae
457396,Clostridium sp. 7_2_43FAA
66219,Lachnoclostridium phytofermentans
1353,Enterococcus gallinarum
84163,Cryptobacterium curtum
126385,Providencia alcalifaciens
35786,Coprothermobacter proteolyticus
97477,Acetomicrobium mobile
2224,Methanothrix thermoacetophila
31973,Eggerthia catenaformis
638849,Pyramidobacter piscolens
1509,Clostridium sporogenes
665943,Eggerthella sp. 1_3_56FAA
33012,Propionimicrobium lymphophilum
457415,Synergistes sp. 3_1_syn1
29360,Cellulosilyticum lentocellum
908340,Clostridium sp. HGF2
242750,Hallella bergensis
1254,Pediococcus acidilactici
33010,Cutibacterium avidum
36834,Clostridium celatum
416586,Selenomonas bovis
376804,Phocaeicola barnesiae
626930,Bacteroides fluxus
1579,Lactobacillus acidophilus
1244,Leuconostoc gelidum
296,Pseudomonas fragi
214853,Anaerofustis stercorihominis
118748,Bulleidia extructa
89153,[Clostridium] hylemonae
204,Campylobacter showae
1338,Streptococcus intermedius
1580,Levilactobacillus brevis
71452,Enterococcus raffinosus
435842,Streptococcus sp. C150
29394,Dolosigranulum pigrum
1105030,Actinomyces sp. ICM58
66228,Gleimia europaea
37637,Corynebacterium pseudodiphtheriticum
38284,Corynebacterium accolens
584,Proteus mirabilis
33007,Winkia neuii
507750,Peptoniphilus duerdenii
244366,Klebsiella variicola
469585,Bacteroides sp. 1_1_14
102862,Proteus penneri
33959,Lactobacillus johnsonii
1292,Staphylococcus warneri
45972,Staphylococcus pasteuri
197,Campylobacter jejuni
1492,Clostridium butyricum
28903,Mycoplasmopsis bovis
35517,[Eubacterium] brachy
36841,Terrisporobacter glycolicus
249188,Haemophilus pittmaniae
469613,Enterobacteriaceae bacterium 9_2_54FAA
225324,Enhydrobacter aerosaccus
40215,Acinetobacter junii
134533,Acinetobacter parvus
195041,Streptococcus cristatus
1750,Arachnia propionica
652708,Bacteroidetes oral taxon 274
749535,Klebsiella sp. MS 92-3
1310,Streptococcus sobrinus
564,Escherichia fergusonii
1363,Lactococcus garvieae
158836,Enterobacter hormaechei
2051,Mobiluncus curtisii
28038,Latilactobacillus curvatus
545,Citrobacter koseri
40214,Acinetobacter johnsonii
1096,Chlorobium phaeobacteroides
1366,Lactococcus raffinolactis
149016,Streptococcus urinalis
136609,Leuconostoc kimchii
703,Plesiomonas shigelloides
156974,Dysgonomonas gadei
1232426,[Collinsella] massiliensis
712430,Peptoniphilus sp. oral taxon 375
33032,Anaerococcus lactolyticus
200,Campylobacter curvus
1249,Weissella paramesenteroides
89152,Peptacetobacter hiranonis
41978,Ruminococcus sp.
163665,Dysgonomonas mossii
1095771,Ruminococcus sp. JC304
1252,Leuconostoc carnosum
1655,Actinomyces naeslundii
57732,Enterococcus asini
936375,Mogibacterium sp. CM50
51123,[Eubacterium] saphenum
712258,Desulfobulbus sp. oral taxon 041
28112,Tannerella forsythia
706435,Capnocytophaga sp. oral taxon 329
651822,Fretibacterium fastidiosum
651591,Bacteroidetes bacterium oral taxon 272
732,Aggregatibacter aphrophilus
113287,Pseudoramibacter alactolyticus
143361,Filifactor alocis
1017,Capnocytophaga gingivalis
53419,Treponema socranskii
172042,Rothia aeria
53418,Treponema lecithinolyticum
203,Campylobacter rectus
158,Treponema denticola
1288391,Actinomyces timonensis
840,Hoylesella loescheii
43997,Catonella morbi
51160,Treponema maltophilum
39498,[Eubacterium] yurii
43768,Corynebacterium matruchotii
837,Porphyromonas gingivalis
544580,Actinomyces oris
181487,Schaalia cardiffensis
712991,Lachnospiraceae bacterium oral taxon 500
633701,Hoylesella saccharolytica
28124,Porphyromonas endodontalis
502,Kingella denitrificans
45242,Capnocytophaga granulosa
407975,Hoylesella pleuritidis
544581,Actinomyces johnsonii
2718,Cardiobacterium hominis
69823,Selenomonas sputigena
138595,Olsenella profusa
824,Campylobacter gracilis
61592,Corynebacterium durum
43995,Johnsonella ignava
135083,Selenomonas noxia
1018,Capnocytophaga ochracea
28131,Prevotella intermedia
194702,Cardiobacterium valvarum
41976,Porphyromonas catoniae
714,Aggregatibacter actinomycetemcomitans
58231,Treponema medium
267212,Neisseria bacilliformis
652706,Oribacterium sp. oral taxon 078
135082,Selenomonas infelix
40542,Leptotrichia buccalis
287,Pseudomonas aeruginosa
615,Serratia marcescens
178214,Facklamia hominis
28132,Prevotella melaninogenica
1203556,Actinomyces sp. HPA0247
223527,Vreelandella boliviensis
419015,Alloscardovia omnicolens
35818,Helicobacter pullorum
376805,Phocaeicola salanitronis
28135,Segatella oris
228,Pseudoalteromonas haloplanktis
43660,Pseudoalteromonas undina
693988,Bilophila sp. 4_1_30
563193,Parabacteroides sp. D13
1612,Companilactobacillus farciminis
52768,Schaalia georgiae
1381,Atopobium minutum
588,Providencia stuartii
569,Hafnia alvei
28134,Hoylesella oralis
1314,Streptococcus pyogenes
1008460,Pyrococcus yayanosii
376806,Bacteroides gallinarum
160453,Enterococcus gilvus
1354,Enterococcus hirae
29405,Microlunatus phosphovorus
352475,Shinella zoogloeoides
266,Paracoccus denitrificans
72000,Kocuria rhizophila
147206,Collinsella stercoris
61645,Enterobacter asburiae
539813,Enterobacter mori
189723,Prevotella micans
796940,Peptoanaerobacter stomatis
469586,Bacteroides thetaiotaomicron
796941,Peptoanaerobacter stomatis
439703,Segatella maculosa
340486,Prevotella conceptionensis
485,Neisseria gonorrhoeae
33011,Cutibacterium granulosum
630,Yersinia enterocolitica
174709,Allobaculum stercoricanis
565,Atlantibacter hermannii
1396,Bacillus cereus
28090,Acinetobacter lwoffii
188913,Cetobacterium somerae
450749,Veillonella sp. 6_1_27
161879,Corynebacterium kroppenstedtii
84030,Lacrimispora saccharolytica
228229,Ligilactobacillus saerimneri
1203555,Acidaminococcus sp. HPA0509
29385,Staphylococcus saprophyticus
1490,Paraclostridium bifermentans
109790,Lactobacillus jensenii
208962,Escherichia albertii
44009,Enterococcus dispar
1694,Bifidobacterium pseudolongum
1587,Lactobacillus helveticus
936548,Actinomyces sp. ICM47
53346,Enterococcus mundtii
293,Brevundimonas diminuta
487316,Acinetobacter soli
80866,Delftia acidovorans
671216,Peptoniphilus sp. oral taxon 836
1111135,Coriobacteriaceae bacterium BV3Ac1
169292,Corynebacterium aurimucosum
38289,Corynebacterium jeikeium
108981,Acinetobacter schindleri
411484,Clostridium sp. SS2/1
1581,Lentilactobacillus buchneri
2098,Metamycoplasma hominis
1203568,Dermabacter sp. HFH0086
1727,Corynebacterium variabile
300,Ectopseudomonas mendocina
160454,Enterococcus pallens
28264,Arcanobacterium haemolyticum
470565,Prevotella histicola
43263,Aquipseudomonas alcaligenes
665938,Bacteroides fragilis
108980,Acinetobacter ursingii
1421,Lysinibacillus sphaericus
46680,Pseudomonas nitroreducens
164400,Thauera phenylacetica
316,Stutzerimonas stutzeri
43306,Pseudomonas denitrificans (nom. rej.)
1833,Rhodococcus erythropolis
179636,Alicycliphilus denitrificans
28197,Aliarcobacter butzleri
75612,Pseudomonas mandelii
72556,Achromobacter piechaudii
52022,Allomeiothermus silvanus
232270,Effusibacillus pohliae
170673,Vibrio kanaloae
1589,Lactiplantibacillus pentosus
1033744,Peptoniphilus senegalensis JC140
1111134,Peptoniphilus sp. BV3C26
2039,Tropheryma whipplei
40216,Acinetobacter radioresistens
202789,Actinobaculum massiliense
115778,Leuconostoc gasicomitatum
329,Ralstonia pickettii
195,Campylobacter coli
13690,Sphingobium yanoikuyae
556261,Clostridium sp. D5
661086,Olsenella sp. oral taxon 809
315405,Streptococcus gallolyticus
999425,Streptococcus sp. F0442
81947,Vagococcus lutrae
563191,Acidaminococcus intestini
671266,Adlercreutzia caecimuris
310514,Hallella multisaccharivorax
910311,Eggerthella sp. HGA1
28129,Prevotella denticola
1076,Rhodopseudomonas palustris
228604,Segatella salivae
1111120,Acidaminococcus sp. BV3L6
1348,Streptococcus parauberis
28136,Segatella oulorum
60133,Prevotella pallens
671218,Alloprevotella rava
476270,Pediococcus acidilactici
1610,Loigolactobacillus coryniformis
457416,Veillonella sp. 3_1_44
420645,Lactobacillus equicursoris
1288,Staphylococcus xylosus
1203571,Propionibacterium sp. HGH0353
71451,Enterococcus malodoratus
227943,Limosilactobacillus antri
1032506,Prevotella sp. MSX73
28141,Cronobacter sakazakii
654,Aeromonas veronii
51669,Tetragenococcus halophilus
1105032,Streptococcus sp. BS35b
1175452,Peptoniphilus rhinitidis
84031,Clostridium sartagoforme
52584,Brachyspira pilosicoli
53413,Xanthomonas axonopodis
1871072,Nocardioidaceae bacterium
460086,Kribbella catacumbae
2001,Streptosporangium roseum
210,Helicobacter pylori
671224,Selenomonas artemidis
157688,Leptotrichia hofstadii
157691,Leptotrichia shahii
157687,Leptotrichia wadei
82203,Centipeda periodontii
469593,Bacteroides sp. 3_1_40A
644,Aeromonas hydrophila
1513,Clostridium tetani
884684,Mageeibacillus indolicus
48296,Acinetobacter pittii
106648,Acinetobacter bereziniae
157268,Helicobacter winghamensis
1169673,Streptococcus sp. GMD4S
1247,Oenococcus oeni
29494,Vibrio furnissii
398743,Zunongwangia profunda
1169674,Streptococcus sp. GMD5S
1549,Faecalispora sporosphaeroides
413503,Cronobacter malonaticus
213,Helicobacter cinaedi
313439,Streptococcus massiliensis
179628,Clostridium colicanis
168810,Corynebacterium glutamicum
419005,Prevotella amnii
470,Acinetobacter baumannii
587,Providencia rettgeri
1111454,Megasphaera vaginalis (ex Srinivasan et al. 2021)
651,Aeromonas media
196024,Aeromonas dhakensis
1270,Micrococcus luteus
62322,Shewanella baltica
303,Pseudomonas putida
136996,Bradyrhizobium lupini
614,Serratia liquefaciens
358,Agrobacterium tumefaciens
1377,Aerococcus viridans
188626,Dermacoccus sp. Ellin185
249058,Gordonia otitidis
38288,Corynebacterium genitalium
425941,Hoylesella nanceiensis
1652,Alloiococcus otitis
29321,Corynebacterium otitidis
36820,Gordonia aichiensis
505,Kingella oralis
334542,Rhodococcus qingshengii
84595,Gordonia polyisoprenivorans
170573,Staphylococcus pettenkoferi
712213,Capnocytophaga sp. oral taxon 332
28133,Prevotella nigrescens
936381,Selenomonas sp. CM52
712469,Alloprevotella sp. oral taxon 473
189722,Hoylesella marshii
665939,Campylobacter sp. 10_1_50
52227,Prevotella dentalis
69710,Treponema vincentii
305719,Segatella baroniae
28137,Prevotella veroralis
177972,Shuttleworthella satelles
135080,Selenomonas flueggei
43770,Corynebacterium striatum
321318,Dietzia cinnamea
39791,Corynebacterium glucuronolyticum
219301,Brachybacterium muris
82347,Facklamia languida
59196,Rickettsiella grylli
173362,Brachybacterium paraconglomeratum
2751,Carnobacterium maltaromaticum
2054,Gordonia bronchialis
1203566,Corynebacterium sp. KPL1859
1078083,Staphylococcus sp. HGB0015
1329,Streptococcus canis
1015,Bergeyella zoohelcum
53363,Brevibacterium mcbrellneri
364298,Janibacter hoylei
712438,Porphyromonas sp. oral taxon 279
47229,Massilia timonae
1286,Staphylococcus simulans
441501,Corynebacterium massiliense
40091,Helcococcus kunzii
237610,Pseudomonas oryzihabitans
36807,Microbacterium laevaniformans
47886,Pseudomonas luteola
258224,Corynebacterium resistens
317,Pseudomonas syringae
85698,Achromobacter xylosoxidans
28115,Porphyromonas macacae
28189,Capnocytophaga cynodegmi
598660,Corynebacterium pyruviciproducens
486,Neisseria lactamica
111105,Porphyromonas gulae
161889,Corynebacterium lipophiloflavum
1063,Cereibacter sphaeroides
68909,Deinococcus geothermalis
175628,Gordonia paraffinivorans
185294,Segatella paludivivens
1276,Kytococcus sedentarius
101564,Ectopseudomonas alcaliphila
529,Brucella anthropi
330922,Psychrobacter cryohalolentis
137730,Falseniella ignava
1203573,Propionibacterium sp. KPL1844
282402,Prevotella multiformis
90245,Oligella urethralis
1014,Weeksella virosa
1078764,Corynebacterium sp. HFH0082
576927,Brevibacterium ravenspurgense
43771,Corynebacterium urealyticum
428712,Jonquetella anthropi
1376,Aerococcus urinae
2055,Gordonia terrae
1520,Clostridium beijerinckii
1639,Listeria monocytogenes
1299,Deinococcus radiodurans
592377,Kocuria atrinae
1346502,Agrococcus pavilionensis
393921,Porphyromonas crevioricanis
964,Herbaspirillum seropedicae
489,Neisseria polysaccharea
712124,Actinomyces sp. oral taxon 448
712888,Actinobaculum sp. oral taxon 183
712212,Capnocytophaga sp. oral taxon 326
258,Sphingobacterium spiritivorum
86188,Stenotrophomonas geniculata
33889,Brevibacterium casei
250,Chryseobacterium gleum
346,Xanthomonas citri
861530,Staphylococcus cohnii
1385984,Exiguobacterium chiriqhucha
1105029,Actinomyces sp. ICM39
671228,Veillonella sp. oral taxon 158
1118058,Actinomyces sp. ph3
1095726,Streptococcus sp. SK140
1203593,Veillonella sp. HPA0037
563031,Prevotella sp. C561
1217720,Roseomonas sp. B5
7,Azorhizobium caulinodans
36808,Corynebacterium bovis
1080712,Methanomassiliicoccus luminyensis
243629,Hydrocarboniphaga effusa
2100,Mesomycoplasma hyorhinis
88132,Eremococcus coleocola
28091,Neisseria weaveri
1718,Corynebacterium glutamicum
155892,Caulobacter vibrioides
28188,Capnocytophaga canimorsus
53462,Mycolicibacterium mageritense
1404,Priestia megaterium
312306,Pseudomonas entomophila
236,Brucella ovis
94625,Brucella intermedia
2035,Curtobacterium flaccumfaciens
549,Pantoea agglomerans
470934,Pantoea vagans
105560,Methylibium petroleiphilum
1697,Corynebacterium ammoniagenes
283734,Staphylococcus pseudintermedius
28447,Clavibacter michiganensis
247,Empedobacter brevis
256839,Shewanella decolorationis
70863,Shewanella oneidensis
76759,Pseudomonas monteilii
649739,Actinomyces sp. oral taxon 848
641148,Neisseria sp. oral taxon 014
712437,Porphyromonas sp. oral taxon 278
1766,Mycolicibacterium fortuitum
38308,Gluconobacter frateurii
553,Pantoea ananatis
1281,Staphylococcus carnosus
72,Simonsiella muelleri
29378,Staphylococcus arlettae
241425,Crinalium epipsammum
1144674,Acinetobacter sp. CIP A162
1078471,Serinicoccus profundi
648,Aeromonas caviae
712148,Aggregatibacter sp. oral taxon 458
706438,Actinomyces sp. oral taxon 171
712117,Actinomyces sp. oral taxon 170
480,Moraxella catarrhalis
607712,Neisseria shayeganii
9,Buchnera aphidicola
408,Methylorubrum extorquens
53399,Hyphomicrobium denitrificans
229549,Streptococcus minor
454586,Pedobacter agri
1234593,Staphylococcus sp. E463
88139,Modestobacter multiseptatus
1767,Mycobacterium intracellulare
1402,Bacillus licheniformis
1764,Mycobacterium avium
37636,Thermus scotoductus
50340,Pseudomonas fuscovaginae
721785,[Acidovorax] ebreus
120576,Brucella pinnipedialis
202956,Acinetobacter towneri
34038,Rahnella aquatilis
200451,Pseudomonas poae
161890,Corynebacterium mastitidis
311334,Chryseobacterium taeanense
204525,Pseudoroseomonas cervicalis
35792,Rickettsia parkeri
42862,Rickettsia felis
470150,Pseudomonas taiwanensis
146939,Azospira oryzae
487732,Corynebacterium ulceribovis
756892,Acinetobacter indicus
134821,Ureaplasma parvum
301092,Marinococcus halotolerans
33934,Anoxybacillus flavithermus
223967,Methylorubrum populi
754,Pasteurella dagmatis
911239,Pseudomonas psychrophila
29581,Janthinobacterium lividum
75659,Duganella zoogloeoides
47883,Pseudomonas synxantha
645,Aeromonas salmonicida
1393,Brevibacillus brevis
256701,Glutamicibacter arilaitensis
76761,Pseudomonas veronii
1111133,Peptoniphilus sp. BV3AC2
796943,Oribacterium parvum ACB1
122355,Pseudomonas psychrophila
652721,Prevotella sp. oral taxon 317
712359,Leptotrichia sp. oral taxon 215
796937,Peptoanaerobacter stomatis
671222,Propionibacterium sp. oral taxon 192
1227265,Capnocytophaga sp. oral taxon 863
248452,Psychrobacter aquaticus
78259,Scardovia inopinata
33069,Pseudomonas viridiflava
699192,Megasphaera lornae
310575,Advenella kashmirensis
160386,Corynebacterium casei
651609,Actinomyces sp. oral taxon 180
2052,Mobiluncus mulieris
1969,Streptomyces chartreusis
263437,Wolbachia endosymbiont of Culex quinquefasciatus
197575,Haemophilus aegyptius
1156433,Streptococcus ilei
563037,Streptococcus sp. M143
1156431,Streptococcus ilei
999424,Streptococcus sp. F0441
59803,Sphingomonas echinoides
157692,Pseudoleptotrichia goodfellowii
553384,Alishewanella agri
519440,Deinococcus aquatilis
936370,Capnocytophaga sp. CM59
44749,Sporobacter termitidis
69825,Lacrimispora indolis
70775,Pseudomonas plecoglossicida
2186,Methanothermococcus thermolithotrophicus
39029,Megasphaera cerevisiae
305,Ralstonia solanacearum
691816,Bacteroides rodentium
1515,Acetivibrio thermocellus
183556,Rhodococcus maanshanensis
53409,Pseudomonas coronafaciens
1630,Kandleria vitulina
670292,Microvirga aerilata
76123,Hoylesella enoeca
80880,Hylemonella gracilis
351091,Oscillibacter valericigenes
511,Alcaligenes faecalis
