taxid,|,taxname,|,lineage,,,,,,,,,,
2172,|,Methanobrevibacter,|,2172,2159,2158,183925,2283794,28890,3366610,2157,131567,,
39948,|,Dialister,|,39948,31977,1843489,909932,1239,1783272,2,131567,,,
577309,|,Paraprevotella,|,577309,171552,171549,200643,976,68336,1783270,3379134,2,131567,
84567,|,Pedobacter,|,84567,84566,200666,117747,976,68336,1783270,3379134,2,131567,
191303,|,Turicibacter,|,191303,2810281,526525,526524,1239,1783272,2,131567,,,
644652,|,Gordonibacter,|,644652,1643826,1643822,84998,201174,1783272,2,131567,,,
2316,|,Methanosphaera,|,2316,2159,2158,183925,2283794,28890,3366610,2157,131567,,
165779,|,Anaerococcus,|,165779,1570339,1737405,1737404,1239,1783272,2,131567,,,
1696,|,Brevibacterium,|,1696,85019,85006,1760,201174,1783272,2,131567,,,
1716,|,Corynebacterium,|,1716,1653,85007,1760,201174,1783272,2,131567,,,
713,|,Actinobacillus,|,713,712,135625,1236,1224,3379134,2,131567,,,
104264,|,Cellulophaga,|,104264,49546,200644,117743,976,68336,1783270,3379134,2,131567,
846,|,Oxalobacter,|,846,75682,80840,28216,1224,3379134,2,131567,,,
416916,|,Aggregatibacter,|,416916,712,135625,1236,1224,3379134,2,131567,,,
100883,|,Coprobacillus,|,100883,2810280,526525,526524,1239,1783272,2,131567,,,
158846,|,Megamonas,|,158846,1843491,909929,909932,1239,1783272,2,131567,,,
248744,|,Marvinbryantia,|,248744,186803,3085636,186801,1239,1783272,2,131567,,,
84108,|,Slackia,|,84108,1643826,1643822,84998,201174,1783272,2,131567,,,
1298,|,Deinococcus,|,1298,183710,118964,188787,1297,3384194,2,131567,,,
574697,|,Butyricimonas,|,574697,1853231,171549,200643,976,68336,1783270,3379134,2,131567,
848,|,Fusobacterium,|,848,203492,203491,203490,32066,3384189,2,131567,,,
583,|,Proteus,|,583,1903414,91347,1236,1224,3379134,2,131567,,,
46255,|,Weissella,|,46255,33958,186826,91061,1239,1783272,2,131567,,,
904,|,Acidaminococcus,|,904,909930,1843488,909932,1239,1783272,2,131567,,,
1257,|,Peptostreptococcus,|,1257,186804,3082720,186801,1239,1783272,2,131567,,,
69965,|,Macrococcus,|,69965,90964,1385,91061,1239,1783272,2,131567,,,
547,|,Enterobacter,|,547,543,91347,1236,1224,3379134,2,131567,,,
1253,|,Pediococcus,|,1253,33958,186826,91061,1239,1783272,2,131567,,,
1033,|,Afipia,|,1033,41294,356,28211,1224,3379134,2,131567,,,
1243,|,Leuconostoc,|,1243,33958,186826,91061,1239,1783272,2,131567,,,
1743,|,Propionibacterium,|,1743,31957,85009,1760,201174,1783272,2,131567,,,
123375,|,Solobacterium,|,123375,128827,526525,526524,1239,1783272,2,131567,,,
482,|,Neisseria,|,482,481,206351,28216,1224,3379134,2,131567,,,
265975,|,Oribacterium,|,265975,186803,3085636,186801,1239,1783272,2,131567,,,
196082,|,Parascardovia,|,196082,31953,85004,1760,201174,1783272,2,131567,,,
1213720,|,Stomatobaculum,|,1213720,186803,3085636,186801,1239,1783272,2,131567,,,
196081,|,Scardovia,|,196081,31953,85004,1760,201174,1783272,2,131567,,,
47670,|,Lautropia,|,47670,119060,80840,28216,1224,3379134,2,131567,,,
543311,|,Parvimonas,|,543311,1570339,1737405,1737404,1239,1783272,2,131567,,,
156454,|,Anaeroglobus,|,156454,31977,1843489,909932,1239,1783272,2,131567,,,
66831,|,Facklamia,|,66831,186827,186826,91061,1239,1783272,2,131567,,,
570,|,Klebsiella,|,570,2890311,543,91347,1236,1224,3379134,2,131567,,
1335745,|,Spiribacter,|,1335745,72276,135613,1236,1224,3379134,2,131567,,,
620,|,Shigella,|,620,543,91347,1236,1224,3379134,2,131567,,,
29521,|,Brachyspira,|,29521,143786,1643686,203692,203691,3379134,2,131567,,,
149698,|,Massilia,|,149698,2895353,75682,80840,28216,1224,3379134,2,131567,,
2701,|,Gardnerella,|,2701,31953,85004,1760,201174,1783272,2,131567,,,
580596,|,Butyricicoccus,|,580596,3085642,186802,186801,1239,1783272,2,131567,,,
209,|,Helicobacter,|,209,72293,213849,3031852,29547,3379134,2,131567,,,
156973,|,Dysgonomonas,|,156973,2005520,171549,200643,976,68336,1783270,3379134,2,131567,
469,|,Acinetobacter,|,469,468,2887326,1236,1224,3379134,2,131567,,,
40323,|,Stenotrophomonas,|,40323,32033,135614,1236,1224,3379134,2,131567,,,
1283313,|,Alloprevotella,|,1283313,171552,171549,200643,976,68336,1783270,3379134,2,131567,
538,|,Eikenella,|,538,481,206351,28216,1224,3379134,2,131567,,,
1164882,|,Lachnoanaerobaculum,|,1164882,186803,3085636,186801,1239,1783272,2,131567,,,
1073,|,Rhodopseudomonas,|,1073,41294,356,28211,1224,3379134,2,131567,,,
76833,|,Actinobaculum,|,76833,2049,2037,1760,201174,1783272,2,131567,,,
674963,|,Succinatimonas,|,674963,83763,135624,1236,1224,3379134,2,131567,,,
248038,|,Mucispirillum,|,248038,2945020,191393,68337,200930,3379134,2,131567,,,
2745,|,Halomonas,|,2745,28256,135619,1236,1224,3379134,2,131567,,,
581,|,Morganella,|,581,1903414,91347,1236,1224,3379134,2,131567,,,
32008,|,Burkholderia,|,32008,119060,80840,28216,1224,3379134,2,131567,,,
517,|,Bordetella,|,517,506,80840,28216,1224,3379134,2,131567,,,
46123,|,Abiotrophia,|,46123,186827,186826,91061,1239,1783272,2,131567,,,
586,|,Providencia,|,586,1903414,91347,1236,1224,3379134,2,131567,,,
84162,|,Cryptobacterium,|,84162,1643826,1643822,84998,201174,1783272,2,131567,,,
68335,|,Coprothermobacter,|,68335,2138247,2138246,2138243,2138240,3379134,2,131567,,,
46613,|,Acetomicrobium,|,49894,3029086,649776,649775,508458,3384194,2,131567,,,
2222,|,Methanothrix,|,2222,143067,2905377,224756,2290931,28890,3366610,2157,131567,,
1279384,|,Eggerthia,|,1279384,2810280,526525,526524,1239,1783272,2,131567,,,
638847,|,Pyramidobacter,|,638847,3029088,649776,649775,508458,3384194,2,131567,,,
203133,|,Propionimicrobium,|,203133,31957,85009,1760,201174,1783272,2,131567,,,
2753,|,Synergistes,|,2753,649777,649776,649775,508458,3384194,2,131567,,,
698776,|,Cellulosilyticum,|,698776,3018741,3085636,186801,1239,1783272,2,131567,,,
970,|,Selenomonas,|,970,1843491,909929,909932,1239,1783272,2,131567,,,
286,|,Pseudomonas,|,286,135621,72274,1236,1224,3379134,2,131567,,,
264995,|,Anaerofustis,|,264995,186806,186802,186801,1239,1783272,2,131567,,,
118747,|,Bulleidia,|,118747,128827,526525,526524,1239,1783272,2,131567,,,
29393,|,Dolosigranulum,|,29393,186828,186826,91061,1239,1783272,2,131567,,,
2093,|,Mycoplasma,|,2093,2092,2085,31969,544448,1783272,2,131567,,,
212791,|,Enhydrobacter,|,212791,119042,356,28211,1224,3379134,2,131567,,,
106589,|,Cupriavidus,|,106589,119060,80840,28216,1224,3379134,2,131567,,,
2050,|,Mobiluncus,|,2050,2049,2037,1760,201174,1783272,2,131567,,,
1091,|,Chlorobium,|,1091,274493,191412,191411,191410,1090,68336,1783270,3379134,2,131567
702,|,Plesiomonas,|,702,543,91347,1236,1224,3379134,2,131567,,,
28453,|,Sphingobacterium,|,28453,84566,200666,117747,976,68336,1783270,3379134,2,131567,
86331,|,Mogibacterium,|,86331,543314,3082720,186801,1239,1783272,2,131567,,,
893,|,Desulfobulbus,|,893,213121,3024411,3031451,200940,3379134,2,131567,,,
195950,|,Tannerella,|,195950,2005525,171549,200643,976,68336,1783270,3379134,2,131567,
1016,|,Capnocytophaga,|,1016,49546,200644,117743,976,68336,1783270,3379134,2,131567,
157,|,Treponema,|,157,2845253,136,203692,203691,3379134,2,131567,,,
1434006,|,Fretibacterium,|,1434006,3029087,649776,649775,508458,3384194,2,131567,,,
113286,|,Pseudoramibacter,|,113286,186806,186802,186801,1239,1783272,2,131567,,,
44259,|,Filifactor,|,44259,3118655,3082720,186801,1239,1783272,2,131567,,,
43996,|,Catonella,|,43996,186803,3085636,186801,1239,1783272,2,131567,,,
32257,|,Kingella,|,32257,481,206351,28216,1224,3379134,2,131567,,,
32067,|,Leptotrichia,|,32067,1129771,203491,203490,32066,3384189,2,131567,,,
2717,|,Cardiobacterium,|,2717,868,135615,1236,1224,3379134,2,131567,,,
43994,|,Johnsonella,|,43994,186803,3085636,186801,1239,1783272,2,131567,,,
613,|,Serratia,|,613,1903411,91347,1236,1224,3379134,2,131567,,,
419014,|,Alloscardovia,|,419014,31953,85004,1760,201174,1783272,2,131567,,,
53246,|,Pseudoalteromonas,|,53246,267888,135622,1236,1224,3379134,2,131567,,,
34084,|,Riemerella,|,34084,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
32012,|,Thiomonas,|,32012,224471,80840,28216,1224,3379134,2,131567,,,
568,|,Hafnia,|,568,1903412,91347,1236,1224,3379134,2,131567,,,
810,|,Chlamydia,|,810,1113537,809,51291,204429,204428,1783257,3379134,2,131567,
2260,|,Pyrococcus,|,2260,2259,2258,183968,28890,3366610,2157,131567,,,
165697,|,Sphingopyxis,|,165697,41297,204457,28211,1224,3379134,2,131567,,,
265,|,Paracoccus,|,265,31989,204455,28211,1224,3379134,2,131567,,,
1839,|,Nocardioides,|,1839,85015,85009,1760,201174,1783272,2,131567,,,
29404,|,Microlunatus,|,29404,31957,85009,1760,201174,1783272,2,131567,,,
57493,|,Kocuria,|,57493,1268,85006,1760,201174,1783272,2,131567,,,
323620,|,Shinella,|,323620,82115,356,28211,1224,3379134,2,131567,,,
165695,|,Sphingobium,|,165695,41297,204457,28211,1224,3379134,2,131567,,,
83618,|,Pseudoxanthomonas,|,83618,32033,135614,1236,1224,3379134,2,131567,,,
68287,|,Mesorhizobium,|,68287,69277,356,28211,1224,3379134,2,131567,,,
41275,|,Brevundimonas,|,41275,76892,204458,28211,1224,3379134,2,131567,,,
110932,|,Leifsonia,|,110932,85023,85006,1760,201174,1783272,2,131567,,,
75,|,Caulobacter,|,75,76892,204458,28211,1224,3379134,2,131567,,,
34072,|,Variovorax,|,34072,80864,80840,28216,1224,3379134,2,131567,,,
72173,|,Citromicrobium,|,72173,41297,204457,28211,1224,3379134,2,131567,,,
201096,|,Alicycliphilus,|,201096,80864,80840,28216,1224,3379134,2,131567,,,
629,|,Yersinia,|,629,1903411,91347,1236,1224,3379134,2,131567,,,
174708,|,Allobaculum,|,174708,128827,526525,526524,1239,1783272,2,131567,,,
773,|,Bartonella,|,773,772,356,28211,1224,3379134,2,131567,,,
1386,|,Bacillus,|,1386,186817,1385,91061,1239,1783272,2,131567,,,
180162,|,Cetobacterium,|,180162,203492,203491,203490,32066,3384189,2,131567,,,
265488,|,Rhodopirellula,|,265488,2691357,2691354,203683,203682,1783257,3379134,2,131567,,
33877,|,Agromyces,|,33877,85023,85006,1760,201174,1783272,2,131567,,,
55968,|,Leucobacter,|,55968,85023,85006,1760,201174,1783272,2,131567,,,
80865,|,Delftia,|,80865,80864,80840,28216,1224,3379134,2,131567,,,
535,|,Chromobacterium,|,535,1499392,206351,28216,1224,3379134,2,131567,,,
74385,|,Gracilibacillus,|,74385,186817,1385,91061,1239,1783272,2,131567,,,
1081,|,Rhodospirillum,|,1081,41295,204441,28211,1224,3379134,2,131567,,,
59732,|,Chryseobacterium,|,59732,2782232,2762318,200644,117743,976,68336,1783270,3379134,2,131567
36739,|,Dermabacter,|,36739,85020,85006,1760,201174,1783272,2,131567,,,
28263,|,Arcanobacterium,|,28263,2049,2037,1760,201174,1783272,2,131567,,,
29580,|,Janthinobacterium,|,29580,75682,80840,28216,1224,3379134,2,131567,,,
400634,|,Lysinibacillus,|,400634,186817,1385,91061,1239,1783272,2,131567,,,
28196,|,Arcobacter,|,28196,2808963,213849,3031852,29547,3379134,2,131567,,,
33057,|,Thauera,|,33057,2008794,206389,28216,1224,3379134,2,131567,,,
1827,|,Rhodococcus,|,1827,85025,85007,1760,201174,1783272,2,131567,,,
76890,|,Asticcacaulis,|,76890,76892,204458,28211,1224,3379134,2,131567,,,
76831,|,Myroides,|,76831,49546,200644,117743,976,68336,1783270,3379134,2,131567,
378210,|,Methyloversatilis,|,378210,2008793,32003,28216,1224,3379134,2,131567,,,
222,|,Achromobacter,|,222,506,80840,28216,1224,3379134,2,131567,,,
65551,|,Meiothermus,|,65551,188786,68933,188787,1297,3384194,2,131567,,,
29330,|,Alicyclobacillus,|,29330,186823,1385,91061,1239,1783272,2,131567,,,
662,|,Vibrio,|,662,641,135623,1236,1224,3379134,2,131567,,,
392733,|,Terriglobus,|,392733,204434,204433,204432,57723,3379134,2,131567,,,
2038,|,Tropheryma,|,2038,2805591,85006,1760,201174,1783272,2,131567,,,
48736,|,Ralstonia,|,48736,119060,80840,28216,1224,3379134,2,131567,,,
2737,|,Vagococcus,|,2737,81852,186826,91061,1239,1783272,2,131567,,,
580024,|,Enterorhabdus,|,580024,1643826,1643822,84998,201174,1783272,2,131567,,,
413496,|,Cronobacter,|,413496,543,91347,1236,1224,3379134,2,131567,,,
642,|,Aeromonas,|,642,84642,135624,1236,1224,3379134,2,131567,,,
22,|,Shewanella,|,22,267890,135622,1236,1224,3379134,2,131567,,,
51668,|,Tetragenococcus,|,51668,81852,186826,91061,1239,1783272,2,131567,,,
43668,|,Brachybacterium,|,43668,85020,85006,1760,201174,1783272,2,131567,,,
338,|,Xanthomonas,|,338,32033,135614,1236,1224,3379134,2,131567,,,
182639,|,Kribbella,|,182639,2726069,85009,1760,201174,1783272,2,131567,,,
2000,|,Streptosporangium,|,2000,2004,85012,1760,201174,1783272,2,131567,,,
82202,|,Centipeda,|,82202,1843491,909929,909932,1239,1783272,2,131567,,,
1851,|,Saccharomonospora,|,1851,2070,85010,1760,201174,1783272,2,131567,,,
81,|,Hyphomicrobium,|,81,45401,356,28211,1224,3379134,2,131567,,,
665874,|,Limnohabitans,|,665874,80864,80840,28216,1224,3379134,2,131567,,,
52972,|,Polaromonas,|,52972,80864,80840,28216,1224,3379134,2,131567,,,
46254,|,Oenococcus,|,46254,33958,186826,91061,1239,1783272,2,131567,,,
67575,|,Rheinheimera,|,67575,1046,135613,1236,1224,3379134,2,131567,,,
417127,|,Zunongwangia,|,417127,49546,200644,117743,976,68336,1783270,3379134,2,131567,
1269,|,Micrococcus,|,1269,1268,85006,1760,201174,1783272,2,131567,,,
357,|,Agrobacterium,|,357,227290,82115,356,28211,1224,3379134,2,131567,,
379,|,Rhizobium,|,379,227290,82115,356,28211,1224,3379134,2,131567,,
1375,|,Aerococcus,|,1375,186827,186826,91061,1239,1783272,2,131567,,,
57495,|,Dermacoccus,|,57495,145357,85006,1760,201174,1783272,2,131567,,,
2053,|,Gordonia,|,2053,85026,85007,1760,201174,1783272,2,131567,,,
125216,|,Roseomonas,|,125216,3385906,3120395,28211,1224,3379134,2,131567,,,
1651,|,Alloiococcus,|,1651,186828,186826,91061,1239,1783272,2,131567,,,
144193,|,Corynebacterium,|,1716,1653,85007,1760,201174,1783272,2,131567,,,
177971,|,Shuttleworthella,|,177971,186803,3085636,186801,1239,1783272,2,131567,,,
434,|,Acetobacter,|,434,433,3120395,28211,1224,3379134,2,131567,,,
1847,|,Pseudonocardia,|,1847,2070,85010,1760,201174,1783272,2,131567,,,
37914,|,Dietzia,|,37914,85029,85007,1760,201174,1783272,2,131567,,,
59195,|,Rickettsiella,|,59195,118968,118969,1236,1224,3379134,2,131567,,,
2747,|,Carnobacterium,|,2747,186828,186826,91061,1239,1783272,2,131567,,,
305976,|,Pusillimonas,|,305976,506,80840,28216,1224,3379134,2,131567,,,
33986,|,Exiguobacterium,|,33986,539742,539002,1385,91061,1239,1783272,2,131567,,
59735,|,Bergeyella,|,59735,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
53457,|,Janibacter,|,53457,85021,85006,1760,201174,1783272,2,131567,,,
31983,|,Helcococcus,|,31983,1570339,1737405,1737404,1239,1783272,2,131567,,,
1835,|,Saccharopolyspora,|,1835,2070,85010,1760,201174,1783272,2,131567,,,
33882,|,Microbacterium,|,33882,85023,85006,1760,201174,1783272,2,131567,,,
1060,|,Rhodobacter,|,1060,3374108,204455,28211,1224,3379134,2,131567,,,
57499,|,Kytococcus,|,57499,2805426,85006,1760,201174,1783272,2,131567,,,
528,|,Ochrobactrum,|,528,2826938,118882,356,28211,1224,3379134,2,131567,,
497,|,Psychrobacter,|,497,468,2887326,1236,1224,3379134,2,131567,,,
44471,|,Microcoleus,|,44471,1892252,1150,1301283,3028117,1117,1798711,1783272,2,131567,
89966,|,Hymenobacter,|,89966,1853232,768507,768503,976,68336,1783270,3379134,2,131567,
90243,|,Oligella,|,90243,506,80840,28216,1224,3379134,2,131567,,,
1013,|,Weeksella,|,1013,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
428711,|,Jonquetella,|,428711,3029088,649776,649775,508458,3384194,2,131567,,,
1637,|,Listeria,|,1637,186820,1385,91061,1239,1783272,2,131567,,,
46352,|,Agrococcus,|,46352,85023,85006,1760,201174,1783272,2,131567,,,
963,|,Herbaspirillum,|,963,75682,80840,28216,1224,3379134,2,131567,,,
89583,|,Gluconacetobacter,|,89583,433,3120395,28211,1224,3379134,2,131567,,,
2034,|,Curtobacterium,|,2034,85023,85006,1760,201174,1783272,2,131567,,,
745,|,Pasteurella,|,745,712,135625,1236,1224,3379134,2,131567,,,
28105,|,Sinorhizobium,|,28105,227292,82115,356,28211,1224,3379134,2,131567,,
6,|,Azorhizobium,|,6,335928,356,28211,1224,3379134,2,131567,,,
1080709,|,Methanomassiliicoccus,|,1080709,1577788,1235850,183967,2283796,3366610,2157,131567,,,
243627,|,Hydrocarboniphaga,|,243627,568386,1775403,1236,1224,3379134,2,131567,,,
171412,|,Eremococcus,|,171412,186827,186826,91061,1239,1783272,2,131567,,,
364316,|,Verminephrobacter,|,364316,80864,80840,28216,1224,3379134,2,131567,,,
265976,|,Serinicoccus,|,265976,2805590,85006,1760,201174,1783272,2,131567,,,
75309,|,Rhodanobacter,|,75309,1775411,135614,1236,1224,3379134,2,131567,,,
1763,|,Mycobacterium,|,1763,1762,85007,1760,201174,1783272,2,131567,,,
359407,|,Methylotenera,|,359407,32011,32003,28216,1224,3379134,2,131567,,,
150203,|,Blastomonas,|,150203,41297,204457,28211,1224,3379134,2,131567,,,
234,|,Brucella,|,234,2826938,118882,356,28211,1224,3379134,2,131567,,
316612,|,Methylibium,|,316612,2975441,80840,28216,1224,3379134,2,131567,,,
1573,|,Clavibacter,|,1573,85023,85006,1760,201174,1783272,2,131567,,,
59734,|,Empedobacter,|,59734,2762318,200644,117743,976,68336,1783270,3379134,2,131567,
441,|,Gluconobacter,|,441,433,3120395,28211,1224,3379134,2,131567,,,
34037,|,Rahnella,|,34037,1903411,91347,1236,1224,3379134,2,131567,,,
10,|,Cellvibrio,|,10,1706371,1706369,1236,1224,3379134,2,131567,,,
71,|,Simonsiella,|,71,481,206351,28216,1224,3379134,2,131567,,,
34098,|,Blattabacterium,|,34098,39782,200644,117743,976,68336,1783270,3379134,2,131567,
45669,|,Salinicoccus,|,45669,90964,1385,91061,1239,1783272,2,131567,,,
1865,|,Actinoplanes,|,1865,28056,85008,1760,201174,1783272,2,131567,,,
241421,|,Crinalium,|,241421,1892255,3079757,3028117,1117,1798711,1783272,2,131567,,
2060,|,Tsukamurella,|,2060,85028,85007,1760,201174,1783272,2,131567,,,
475,|,Moraxella,|,475,468,2887326,1236,1224,3379134,2,131567,,,
32199,|,Buchnera,|,32199,1903409,91347,1236,1224,3379134,2,131567,,,
407,|,Methylobacterium,|,407,119045,356,28211,1224,3379134,2,131567,,,
88138,|,Modestobacter,|,88138,85030,1643682,1760,201174,1783272,2,131567,,,
270,|,Thermus,|,270,188786,68933,188787,1297,3384194,2,131567,,,
1707,|,Cellulomonas,|,1707,85016,85006,1760,201174,1783272,2,131567,,,
1158,|,Oscillatoria,|,1158,1892254,1150,1301283,3028117,1117,1798711,1783272,2,131567,
12916,|,Acidovorax,|,12916,80864,80840,28216,1224,3379134,2,131567,,,
191,|,Azospirillum,|,191,2829815,204441,28211,1224,3379134,2,131567,,,
507,|,Alcaligenes,|,507,506,80840,28216,1224,3379134,2,131567,,,
244698,|,Gillisia,|,244698,49546,200644,117743,976,68336,1783270,3379134,2,131567,
780,|,Rickettsia,|,780,33988,775,766,28211,1224,3379134,2,131567,,
146937,|,Azospira,|,146937,75787,206389,28216,1224,3379134,2,131567,,,
2129,|,Ureaplasma,|,2129,2790998,2790996,544448,1783272,2,131567,,,,
1370,|,Marinococcus,|,1370,186817,1385,91061,1239,1783272,2,131567,,,
150247,|,Anoxybacillus,|,150247,3120669,1385,91061,1239,1783272,2,131567,,,
75654,|,Duganella,|,75654,2895353,75682,80840,28216,1224,3379134,2,131567,,
55080,|,Brevibacillus,|,55080,186822,1385,91061,1239,1783272,2,131567,,,
1663,|,Arthrobacter,|,1663,1268,85006,1760,201174,1783272,2,131567,,,
290425,|,Advenella,|,290425,506,80840,28216,1224,3379134,2,131567,,,
1883,|,Streptomyces,|,1883,2062,85011,1760,201174,1783272,2,131567,,,
953,|,Wolbachia,|,953,952,942,766,28211,1224,3379134,2,131567,,
323449,|,Pontibacter,|,323449,1853232,768507,768503,976,68336,1783270,3379134,2,131567,
35798,|,Nitrosospira,|,35798,206379,32003,28216,1224,3379134,2,131567,,,
13687,|,Sphingomonas,|,13687,41297,204457,28211,1224,3379134,2,131567,,,
111142,|,Alishewanella,|,111142,72275,135622,1236,1224,3379134,2,131567,,,
252301,|,Oceanicola,|,252301,2854170,204455,28211,1224,3379134,2,131567,,,
1152,|,Pseudanabaena,|,1152,1890436,2881377,3028117,1117,1798711,1783272,2,131567,,
13334,|,Anaerobiospirillum,|,13334,83763,135624,1236,1224,3379134,2,131567,,,
1279388,|,Kandleria,|,1279388,2810280,526525,526524,1239,1783272,2,131567,,,
186650,|,Microvirga,|,186650,119045,356,28211,1224,3379134,2,131567,,,
227979,|,Jeotgalicoccus,|,227979,90964,1385,91061,1239,1783272,2,131567,,,
1573535,|,Holdemanella,|,1573535,128827,526525,526524,1239,1783272,2,131567,,,
151754,|,Xenophilus,|,151754,80864,80840,28216,1224,3379134,2,131567,,,
155862,|,Methanothermococcus,|,155862,2183,2182,183939,2283794,28890,3366610,2157,131567,,
237,|,Flavobacterium,|,237,49546,200644,117743,976,68336,1783270,3379134,2,131567,
1506553,|,Lachnoclostridium,|,1506553,186803,3085636,186801,1239,1783272,2,131567,,,
1508657,|,Ruminiclostridium,|,1508657,216572,186802,186801,1239,1783272,2,131567,,,
232523,|,Hylemonella,|,232523,80864,80840,28216,1224,3379134,2,131567,,,
85413,|,Bosea,|,85413,2831100,356,28211,1224,3379134,2,131567,,,
